Hotels,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
4,Rikitea,PF,73.31,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
8,Padang,ID,84.51,broken clouds,-0.9492,100.3543,losmen Surya
9,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti International Resort
11,Kapaa,US,79.12,light rain,22.0752,-159.319,Pono Kai Resort
15,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Pebbles Inn
16,Hermanus,ZA,70.81,overcast clouds,-34.4187,19.2345,Aloe guest house
17,Atuona,PF,78.35,few clouds,-9.8,-139.0333,Pearl Resort
18,Faanui,PF,80.38,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
36,Sibolga,ID,84.87,overcast clouds,1.7427,98.7792,Hotel Prima Indah
59,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
61,Sao Gabriel Da Cachoeira,BR,76.14,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
64,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
65,Ballina,AU,80.02,broken clouds,-28.8667,153.5667,Ballina Beach Resort
69,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
73,Sao Felix Do Xingu,BR,71.94,scattered clouds,-6.6447,-51.995,Hotel Terraço
74,Pimenta Bueno,BR,71.69,overcast clouds,-11.6725,-61.1936,Cristalina palace hotel
81,Cape Town,ZA,73.38,clear sky,-33.9258,18.4232,Townhouse Hotel
94,Manaure,CO,78.91,few clouds,11.7751,-72.4445,hotel palaima
95,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
103,Christchurch,NZ,80.8,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
108,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
