City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-12-10 21:59:55,22.0752,-159.319,80.58,67,80,5.99
1,Pangnirtung,CA,2022-12-10 21:59:55,66.1451,-65.7125,5.65,98,100,1.66
2,Bredasdorp,ZA,2022-12-10 21:59:56,-34.5322,20.0403,66.54,87,100,16.08
3,Khatanga,RU,2022-12-10 21:59:56,71.9667,102.5,-8.09,96,100,11.74
4,New Norfolk,AU,2022-12-10 21:59:56,-42.7826,147.0587,60.93,55,99,4.0
5,Talara,PE,2022-12-10 21:59:56,-4.5772,-81.2719,77.76,61,0,14.97
6,Upernavik,GL,2022-12-10 21:59:57,72.7868,-56.1549,22.08,94,100,12.68
7,Szilvasvarad,HU,2022-12-10 21:59:57,48.1,20.4,35.08,94,100,6.38
8,Labuhan,ID,2022-12-10 21:59:57,-6.8844,112.2051,76.77,85,99,7.47
9,Yellowknife,CA,2022-12-10 21:59:58,62.456,-114.3525,-1.68,84,100,4.61
10,Busselton,AU,2022-12-10 21:59:58,-33.65,115.3333,51.13,80,0,9.1
11,Mataura,NZ,2022-12-10 21:59:58,-46.1927,168.8643,63.48,60,86,2.04
12,Luderitz,NA,2022-12-10 21:59:38,-26.6481,15.1594,62.87,95,0,8.68
13,Rikitea,PF,2022-12-10 21:59:58,-23.1203,-134.9692,76.55,76,67,17.49
14,Puerto Ayora,EC,2022-12-10 21:59:59,-0.7393,-90.3518,82.36,90,63,8.01
15,Cherskiy,RU,2022-12-10 21:59:59,68.75,161.3,-24.93,96,100,4.99
16,Atuona,PF,2022-12-10 21:55:48,-9.8,-139.0333,77.29,76,19,13.78
17,Paita,PE,2022-12-10 21:59:59,-5.0892,-81.1144,69.96,79,28,14.18
18,Port Alfred,ZA,2022-12-10 22:00:00,-33.5906,26.891,70.18,97,100,3.0
19,Vaini,TO,2022-12-10 21:57:14,-21.2,-175.2,84.36,84,75,11.5
20,Barrow,US,2022-12-10 22:00:00,71.2906,-156.7887,-0.92,96,28,9.78
21,Hargeysa,SO,2022-12-10 22:00:00,9.56,44.065,59.05,80,1,8.16
22,Isangel,VU,2022-12-10 21:55:54,-19.55,169.2667,80.71,78,100,0.0
23,Ribeira Grande,PT,2022-12-10 22:00:01,38.5167,-28.7,66.78,82,17,38.99
24,Chuy,UY,2022-12-10 22:00:01,-33.6971,-53.4616,70.88,70,91,11.79
25,Villa Sandino,NI,2022-12-10 22:00:02,12.0483,-84.9936,73.83,90,33,10.49
26,Kaitangata,NZ,2022-12-10 22:00:04,-46.2817,169.8464,58.41,74,93,5.73
27,Progreso,MX,2022-12-10 22:00:11,21.2833,-89.6667,87.12,70,20,14.29
28,Nyurba,RU,2022-12-10 22:00:12,63.2842,118.3319,-35.91,100,100,3.18
29,Male,MV,2022-12-10 22:00:24,4.1748,73.5089,81.54,76,100,19.37
30,Xai-Xai,MZ,2022-12-10 22:00:24,-25.0519,33.6442,74.37,87,0,6.6
31,Saldanha,ZA,2022-12-10 22:00:28,-33.0117,17.9442,68.05,79,32,4.23
32,Pisco,PE,2022-12-10 22:00:29,-13.7,-76.2167,69.03,85,65,5.46
33,Beisfjord,NO,2022-12-10 22:00:29,68.3751,17.5988,21.25,85,14,9.53
34,Larsnes,NO,2022-12-10 21:59:10,62.2028,5.5773,28.67,73,11,8.08
35,Bluff,NZ,2022-12-10 22:00:30,-46.6,168.3333,63.81,80,99,8.99
36,Hithadhoo,MV,2022-12-10 22:00:31,-0.6,73.0833,81.3,78,100,12.21
37,Westport,US,2022-12-10 21:55:59,41.1415,-73.3579,38.55,63,24,8.01
38,Los Llanos De Aridane,ES,2022-12-10 22:00:31,28.6585,-17.9182,67.75,97,20,8.01
39,Naqadeh,IR,2022-12-10 22:00:31,36.9553,45.388,34.02,81,3,2.28
40,Vysokogornyy,RU,2022-12-10 22:00:32,50.1167,139.15,-4.02,99,100,2.51
41,Mahebourg,MU,2022-12-10 21:57:47,-20.4081,57.7,76.24,88,75,8.05
42,Payo,ID,2022-12-10 22:00:32,-3.7508,103.6372,70.39,95,100,1.48
43,Constitucion,CL,2022-12-10 21:57:05,-35.3333,-72.4167,67.26,53,0,21.03
44,Dikson,RU,2022-12-10 22:00:33,73.5069,80.5464,-5.44,100,97,5.44
45,Cap-Chat,CA,2022-12-10 22:00:33,49.1001,-66.6821,18.32,68,54,11.9
46,Ushuaia,AR,2022-12-10 22:01:34,-54.8,-68.3,48.02,58,40,7.83
47,Loten,NO,2022-12-10 22:01:34,60.8171,11.3376,12.15,92,96,2.17
48,Lamu,KE,2022-12-10 22:01:34,-2.2717,40.902,78.39,83,74,9.04
49,Lebu,CL,2022-12-10 21:57:50,-37.6167,-73.65,62.64,70,0,14.14
50,Cape Town,ZA,2022-12-10 22:01:01,-33.9258,18.4232,73.38,71,95,8.01
51,San Patricio,US,2022-12-10 22:01:35,28.017,-97.5169,82.26,70,96,12.35
52,Motygino,RU,2022-12-10 22:01:35,58.1831,94.7592,-12.75,88,97,9.35
53,Ahuimanu,US,2022-12-10 22:01:36,21.4447,-157.8378,80.2,65,33,8.01
54,Te Anau,NZ,2022-12-10 22:01:36,-45.4167,167.7167,60.22,65,88,1.16
55,Dingle,PH,2022-12-10 22:01:36,10.9995,122.6711,73.71,93,100,1.72
56,Qaanaaq,GL,2022-12-10 22:01:37,77.484,-69.3632,-2.29,88,98,5.57
57,Namibe,AO,2022-12-10 21:59:33,-15.1961,12.1522,70.79,77,14,3.18
58,Avarua,CK,2022-12-10 22:01:37,-21.2078,-159.775,77.05,69,75,11.5
59,Port Elizabeth,ZA,2022-12-10 22:01:37,-33.918,25.5701,71.31,99,100,9.22
60,Airai,TL,2022-12-10 22:01:38,-8.9266,125.4092,60.91,68,97,2.15
61,Port Hueneme,US,2022-12-10 21:57:16,34.1478,-119.1951,61.74,88,100,4.61
62,Tuktoyaktuk,CA,2022-12-10 21:58:19,69.4541,-133.0374,-2.2,78,75,12.66
63,Mar Del Plata,AR,2022-12-10 21:58:29,-38.0023,-57.5575,79.83,58,0,16.11
64,Peebles,GB,2022-12-10 22:01:38,55.6519,-3.1888,34.02,98,74,4.72
65,Yerbogachen,RU,2022-12-10 22:01:38,61.2767,108.0108,-16.62,100,99,3.44
66,Concordia,AR,2022-12-10 22:00:02,-31.393,-58.0209,85.78,55,100,5.99
67,Tautira,PF,2022-12-10 22:01:04,-17.7333,-149.15,78.4,75,94,6.67
68,Ponta Do Sol,PT,2022-12-10 22:01:39,32.6667,-17.1,74.71,94,100,11.48
69,Sao Joaquim,BR,2022-12-10 22:01:39,-28.2939,-49.9317,64.45,95,83,2.24
70,Brae,GB,2022-12-10 22:01:39,60.3964,-1.353,39.27,58,94,13.42
71,Kavieng,PG,2022-12-10 22:01:40,-2.5744,150.7967,81.81,78,100,8.93
72,Bereda,ES,2022-12-10 22:01:40,43.2686,-7.5406,41.41,100,100,1.03
73,Gat,IL,2022-12-10 22:01:40,31.61,34.7642,59.4,59,10,2.89
74,Buala,SB,2022-12-10 22:01:41,-8.145,159.5921,82.0,76,100,4.32
75,Hermanus,ZA,2022-12-10 22:01:41,-34.4187,19.2345,67.8,86,100,19.46
76,Ushtobe,KZ,2022-12-10 22:01:42,45.2514,77.9838,0.03,82,1,6.73
77,Saint George,US,2022-12-10 21:58:22,37.1041,-113.5841,54.43,38,93,1.99
78,Kangaba,ML,2022-12-10 22:01:42,11.9333,-8.4167,76.59,19,11,5.48
79,Noumea,NC,2022-12-10 22:01:42,-22.2763,166.4572,82.99,99,99,3.33
80,Djibo,BF,2022-12-10 22:01:43,14.1022,-1.6306,74.32,13,18,9.44
81,Severo-Kurilsk,RU,2022-12-10 22:01:43,50.6789,156.125,25.9,73,100,6.31
82,Vestmannaeyjar,IS,2022-12-10 22:01:43,63.4427,-20.2734,32.32,67,4,8.1
83,Ruy Barbosa,BR,2022-12-10 22:01:44,-12.2839,-40.4939,80.38,63,100,1.45
84,Tasiilaq,GL,2022-12-10 22:01:44,65.6145,-37.6368,21.36,62,33,6.13
85,Kamthi,IN,2022-12-10 22:01:44,21.2333,79.2,64.13,40,97,5.99
86,Three Hills,CA,2022-12-10 22:01:45,51.7001,-113.2686,21.61,92,100,7.58
87,Ust-Tsilma,RU,2022-12-10 22:01:45,65.441,52.1498,-15.32,100,100,2.24
88,Marawi,PH,2022-12-10 22:00:55,7.9986,124.2928,67.12,86,100,4.99
89,Comodoro Rivadavia,AR,2022-12-10 22:01:45,-45.8667,-67.5,71.76,28,46,27.02
90,East London,ZA,2022-12-10 22:00:13,-33.0153,27.9116,72.5,89,100,10.47
91,Albany,US,2022-12-10 22:02:35,42.6001,-73.9662,28.22,66,1,3.24
